,parallax,parallax_error,pf,pf_error,int_average_g,int_average_g_error,int_average_bp,int_average_bp_error,int_average_rp,int_average_rp_error,absMag,type_best_classification
6445,-0.0150312225865923,0.03215576,3.448559147208793,5.6767847e-05,16.051044,0.0022317148,16.437828,0.010373407,15.4848385,0.008310138,,DCEP
6446,-0.0160714064588322,0.023662772,7.671728193796271,0.00018767972,15.31939,0.0011416288,15.793239,0.018528786,14.65928,0.0019706998,,DCEP
6447,0.0303096645883334,0.030406252,4.937619820493755,0.00020949812,15.692369,0.00520631,16.098295,0.0093918005,15.10082,0.0011449564,-2.491274347894972,DCEP
6448,-0.0197051973467415,0.033434056,,,15.7842865,0.0010634933,16.1247,0.005097362,15.22531,0.0232248,,DCEP
6449,-0.06478350962039,0.06176707,3.337013791136825,0.00024189519,17.127922,0.00251005,17.285404,0.0075595453,16.758665,0.0064968956,,T2CEP
6450,0.0102070780153829,0.021131324,14.193813402892989,0.00086433085,14.796451,0.0048242947,15.321593,0.00642062,14.064782,0.010540743,-5.890710828946903,DCEP
6451,-0.0425015325100061,0.07193202,,,17.421299,0.0013145981,17.71695,0.011644075,16.857582,0.008479424,,DCEP
6452,-0.0555672648232395,0.049101602,14.797157843004994,0.009309279,16.705454,0.013308107,17.105913,0.026184134,16.032595,0.0077870465,,T2CEP
6453,-0.0343086661803648,0.0399536,3.130589474972395,9.539079e-05,16.490913,0.0034631866,16.813375,0.008440792,15.819762,0.008157583,,DCEP
6454,0.0153922412112873,0.05694434,,,17.185606,0.002715098,17.442501,0.012756194,16.710579,0.013656779,-2.352911697194571,DCEP
6455,0.0902917841139104,0.06860416,,,17.505713,0.014277838,17.782312,0.01294531,17.07035,0.008977971,1.8485911725905773,DCEP
6456,-0.0181443166704532,0.02658537,4.008895809117054,0.00015750063,15.509932,0.015457285,15.818192,0.011255032,15.018957,0.009816764,,DCEP
6457,0.0337570609597074,0.033478502,3.2362908697660457,0.00019260998,15.951832,0.0049534333,16.287333,0.009400748,15.418286,0.006525402,-1.939890860075586,DCEP
6458,0.1039691503445127,0.09587985,,,17.98195,0.0024524152,18.001122,0.048250154,17.750793,0.022069674,2.835315474251189,DCEP
6459,-0.2432352967103587,0.14707565,1.9374510671280392,0.00013793337,18.312325,0.011682033,18.335575,0.018861113,17.394217,0.025919287,,T2CEP
6460,-0.1742177193217453,0.06315685,2.065686623610782,3.5758054e-05,16.555883,0.004261748,16.843971,0.0064074052,15.955707,0.022660485,,DCEP
6461,-0.0113897855499473,0.049983587,,,16.386599,0.0024649217,16.533598,0.023435568,15.618165,0.02435071,,DCEP
6462,0.0442377542400971,0.02976068,4.4840095540248175,0.00018269438,15.635436,0.004438777,15.985796,0.005487286,15.057133,0.0035899286,-1.7139016420033997,DCEP
6463,-0.0446199679110602,0.029707711,3.706965513723732,4.620234e-05,15.6594,0.0027870256,15.9805565,0.018302541,15.1651535,0.005960273,,DCEP
6464,-0.0343931101500694,0.058975656,,,17.257536,0.010545394,17.540243,0.007904839,16.848238,0.009082638,,DCEP
6465,0.1074756902484019,0.061109122,1.3616423712115713,0.00011968893,16.677412,0.015593513,16.847486,0.0141414385,16.038864,0.017223816,1.1954152149842763,DCEP
6466,0.013561781375823,0.023466306,,,15.476026,0.0005044753,15.757077,0.0020641584,15.040177,0.0017381142,-4.298239304970899,DCEP
6467,-0.0113280945417438,0.048712406,,,16.848242,0.001324137,17.1235,0.014465618,16.30561,0.0077460017,,DCEP
6468,-0.0361278837815975,0.026451573,,,15.434804,0.0020488952,15.801964,0.014581026,14.836671,0.0018852212,,DCEP
6469,-0.0768187898278591,0.033217195,4.430415200247996,0.0003565621,15.455161,0.01173001,15.762647,0.0054304595,14.914988,0.012569439,,DCEP
6470,-0.00058170236715,0.028432086,5.076483750565162,9.064131e-05,15.959046,0.0020211416,16.466452,0.0087514175,15.279303,0.0031843602,,DCEP
6471,-0.0447305950211484,0.020252388,8.96818556803579,0.0007288411,15.083111,0.00042190237,15.569354,0.0012248682,14.436961,0.0012770214,,DCEP
6472,-0.0226622867907876,0.023621067,4.174325316727614,6.0081657e-05,15.586449,0.004315627,15.976645,0.008724879,15.045665,0.004592443,,DCEP
6473,-0.0490395585486391,0.021012455,,,15.20007,0.0008761658,15.542183,0.0022155982,14.662066,0.0060561104,,DCEP
6474,-0.0375161379728935,0.01885645,6.540752677402192,0.00022878958,14.9875145,0.0053641954,15.340572,0.0061487607,14.456848,0.0025433134,,DCEP
6475,-0.0525331662940619,0.022759607,5.798815651988613,0.00012808369,15.347763,0.00081638223,15.747237,0.0035088593,14.7691345,0.0038785874,,DCEP
6476,-0.0231960342724935,0.025551464,4.659860270047722,0.00013432952,15.56158,0.0014350887,15.909802,0.009118069,14.992429,0.011531321,,DCEP
